Time,Ampl
4.96302e-08,-0.00024
5.00302e-08,-0.00024
5.04302e-08,0.00014
5.08302e-08,4e-05
5.12302e-08,-0.00018
5.16302e-08,-0.00012
5.20302e-08,0.00012
5.24302e-08,0
5.28302e-08,-0.00028
5.32302e-08,0
5.36302e-08,-0.00014
5.40302e-08,-0.00018
5.44302e-08,-8e-05
5.48302e-08,-0.00016
5.52302e-08,-0.0003
5.56302e-08,-0.00016
5.60302e-08,0.0001
5.64302e-08,-0.00014
5.68302e-08,-8e-05
5.72302e-08,-0.00014
5.76302e-08,-0.00022
5.80302e-08,-0.00026
5.84302e-08,0.00014
5.88302e-08,-0.0004
5.92302e-08,2e-05
5.96302e-08,-0.00014
6.00302e-08,-0.00036
6.04302e-08,-8e-05
6.08302e-08,-0.00012
6.12302e-08,-2e-05
6.16302e-08,6e-05
6.20302e-08,-4e-05
6.24302e-08,-0.00022
6.28302e-08,-6e-05
6.32302e-08,-0.00026
6.36302e-08,-0.00026
6.40302e-08,-2e-05
6.44302e-08,-2e-05
6.48302e-08,-0.00018
6.52302e-08,-2e-05
6.56302e-08,-0.00016
6.60302e-08,-0.0001
6.64302e-08,-0.0001
6.68302e-08,0.0001
6.72302e-08,-0.00012
6.76302e-08,2e-05
6.80302e-08,-0.00022
6.84302e-08,-8e-05
6.88302e-08,-0.0004
6.92302e-08,-0.00012
6.96302e-08,-2e-05
7.00302e-08,-0.00034
7.04302e-08,-0.0002
7.08302e-08,-0.00032
7.12302e-08,2e-05
7.16302e-08,-0.00032
7.20302e-08,-0.00026
7.24302e-08,-4e-05
7.28302e-08,-6e-05
7.32302e-08,-0.00012
7.36302e-08,-0.00014
7.40302e-08,-8e-05
7.44302e-08,-0.0001
7.48302e-08,8e-05
7.52302e-08,-0.00024
7.56302e-08,8e-05
7.60302e-08,-0.00026
7.64302e-08,-0.00026
7.68302e-08,-0.00016
7.72302e-08,-0.0004
7.76302e-08,6e-05
7.80302e-08,-0.00016
7.84302e-08,2e-05
7.88302e-08,-4e-05
7.92302e-08,-0.00038
7.96302e-08,-4e-05
8.00302e-08,-0.00018
8.04302e-08,-0.00032
8.08302e-08,0.00012
8.12302e-08,-4e-05
8.16302e-08,-0.0002
8.20302e-08,-0.00034
8.24302e-08,-0.00042
8.28302e-08,-0.00024
8.32302e-08,-0.0004
8.36302e-08,-0.00026
8.40302e-08,-0.00028
8.44302e-08,-0.00034
8.48302e-08,-2e-05
8.52302e-08,-0.00026
8.56302e-08,-4e-05
8.60302e-08,-0.00014
8.64302e-08,-0.00026
8.68302e-08,-0.00034
8.72302e-08,-0.00012
8.76302e-08,-6e-05
8.80302e-08,-0.00026
8.84302e-08,-6e-05
8.88302e-08,-0.00024
8.92302e-08,0.00028
8.96302e-08,-8e-05
9.00302e-08,-0.00012
9.04302e-08,0.00014
9.08302e-08,-4e-05
9.12302e-08,-0.00016
9.16302e-08,-0.00024
9.20302e-08,4e-05
9.24302e-08,-0.00034
9.28302e-08,-0.0002
9.32302e-08,-2e-05
9.36302e-08,-0.00016
9.40302e-08,4e-05
9.44302e-08,0
9.48302e-08,-0.0002
9.52302e-08,-0.00018
9.56302e-08,-0.0003
9.60302e-08,-8e-05
9.64302e-08,-0.00022
9.68302e-08,-0.0002
9.72302e-08,2e-05
9.76302e-08,-0.0002
9.80302e-08,-8e-05
9.84302e-08,-0.00018
9.88302e-08,-0.00026
9.92302e-08,-0.00048
9.96302e-08,-0.00034
1.0003e-07,-0.00018
1.0043e-07,-0.00028
1.0083e-07,-0.0002
1.0123e-07,-0.00044
1.0163e-07,2e-05
1.0203e-07,-8e-05
1.0243e-07,-0.00028
1.0283e-07,0.00016
1.0323e-07,4e-05
1.0363e-07,-0.0003
1.0403e-07,-0.00038
1.0443e-07,-0.00018
1.0483e-07,2e-05
1.0523e-07,0.00024
1.0563e-07,-0.00032
1.0603e-07,-0.00026
1.0643e-07,-0.00018
1.0683e-07,-0.00014
1.0723e-07,-0.00026
1.0763e-07,-0.00014
1.0803e-07,0
1.0843e-07,-0.00018
1.0883e-07,-0.00018
1.0923e-07,-0.0002
1.0963e-07,-0.00026
1.1003e-07,0.00016
1.1043e-07,-0.00038
1.1083e-07,4e-05
1.1123e-07,-0.00016
1.1163e-07,-0.00026
1.1203e-07,-0.00046
1.1243e-07,-0.00056
1.1283e-07,2e-05
1.1323e-07,-0.00044
1.1363e-07,-0.00032
1.1403e-07,-0.00028
1.1443e-07,-0.00028
1.1483e-07,-0.00024
1.1523e-07,-0.00032
1.1563e-07,-0.00024
1.1603e-07,-0.00018
1.1643e-07,4e-05
1.1683e-07,-4e-05
1.1723e-07,-0.00034
1.1763e-07,0.00012
1.1803e-07,-0.0002
1.1843e-07,-0.0002
1.1883e-07,-0.00032
1.1923e-07,-0.00028
1.1963e-07,8e-05
1.2003e-07,-0.00012
1.2043e-07,-0.0001
1.2083e-07,8e-05
1.2123e-07,-0.0001
1.2163e-07,-2e-05
1.2203e-07,-0.00014
1.2243e-07,8e-05
1.2283e-07,6e-05
1.2323e-07,-0.00012
1.2363e-07,8e-05
1.2403e-07,-0.0001
1.2443e-07,0.00022
1.2483e-07,6e-05
1.2523e-07,-0.00018
1.2563e-07,-0.00014
1.2603e-07,-0.00026
1.2643e-07,-0.00014
1.2683e-07,-0.00012
1.2723e-07,0.0001
1.2763e-07,-4e-05
1.2803e-07,-0.00018
1.2843e-07,-0.00024
1.2883e-07,-0.00016
1.2923e-07,-6e-05
1.2963e-07,-0.00026
1.3003e-07,-0.00018
1.3043e-07,-0.00016
1.3083e-07,-0.00032
1.3123e-07,-0.00024
1.3163e-07,-0.00032
1.3203e-07,-0.00016
1.3243e-07,0.00018
1.3283e-07,-0.00028
1.3323e-07,-0.00028
1.3363e-07,-0.0002
1.3403e-07,-0.0002
1.3443e-07,4e-05
1.3483e-07,-4e-05
1.3523e-07,0.00014
1.3563e-07,-0.0002
1.3603e-07,-0.00018
1.3643e-07,-8e-05
1.3683e-07,-4e-05
1.3723e-07,-0.0002
1.3763e-07,-0.00014
1.3803e-07,-0.00024
1.3843e-07,-0.0001
1.3883e-07,-0.00022
1.3923e-07,6e-05
1.3963e-07,-0.00026
