TIMESTAMPS,TIMES,FILES
1748982484,2025-06-03 22:28:04,scope2__ALL_20250603222803163.csv
1748982628,2025-06-03 22:30:28,scope2__ALL_20250603223027162.csv
1748982748,2025-06-03 22:32:28,scope2__ALL_20250603223227162.csv
1748983012,2025-06-03 22:36:52,scope2__ALL_20250603223651166.csv
1749023423,2025-06-04 09:50:23,scope2__ALL_20250604095022406.csv
1749023567,2025-06-04 09:52:47,scope2__ALL_20250604095246354.csv
1749037128,2025-06-04 13:38:48,scope2__ALL_20250604133847635.csv
1749037560,2025-06-04 13:46:00,scope2__ALL_20250604134559574.csv
1749037824,2025-06-04 13:50:24,scope2__ALL_20250604135023567.csv
1749038040,2025-06-04 13:54:00,scope2__ALL_20250604135359565.csv
1749038472,2025-06-04 14:01:12,scope2__ALL_20250604140111563.csv
1749038616,2025-06-04 14:03:36,scope2__ALL_20250604140335562.csv
1749038760,2025-06-04 14:06:00,scope2__ALL_20250604140559563.csv
1749038928,2025-06-04 14:08:48,scope2__ALL_20250604140847563.csv
1749039048,2025-06-04 14:10:48,scope2__ALL_20250604141047561.csv
1749039384,2025-06-04 14:16:24,scope2__ALL_20250604141623572.csv
1749039528,2025-06-04 14:18:48,scope2__ALL_20250604141847565.csv
1749039624,2025-06-04 14:20:24,scope2__ALL_20250604142023566.csv
1749039768,2025-06-04 14:22:48,scope2__ALL_20250604142247566.csv
1749039864,2025-06-04 14:24:24,scope2__ALL_20250604142423561.csv
1749040008,2025-06-04 14:26:48,scope2__ALL_20250604142647561.csv
1749040080,2025-06-04 14:28:00,scope2__ALL_20250604142759563.csv
1749040152,2025-06-04 14:29:12,scope2__ALL_20250604142911575.csv
1749040608,2025-06-04 14:36:48,scope2__ALL_20250604143647566.csv
1749040872,2025-06-04 14:41:12,scope2__ALL_20250604144111579.csv
1749040992,2025-06-04 14:43:12,scope2__ALL_20250604144311578.csv
1749041088,2025-06-04 14:44:48,scope2__ALL_20250604144447584.csv
1749041184,2025-06-04 14:46:24,scope2__ALL_20250604144623575.csv
1749041328,2025-06-04 14:48:48,scope2__ALL_20250604144847584.csv
1749041424,2025-06-04 14:50:24,scope2__ALL_20250604145023577.csv
1749041520,2025-06-04 14:52:00,scope2__ALL_20250604145159618.csv
1749042480,2025-06-04 15:08:00,scope2__ALL_20250604150759666.csv
1749042528,2025-06-04 15:08:48,scope2__ALL_20250604150847151.csv
1749042600,2025-06-04 15:10:00,scope2__ALL_20250604150959574.csv
1749042744,2025-06-04 15:12:24,scope2__ALL_20250604151223564.csv
1749042767,2025-06-04 15:12:47,scope2__ALL_20250604151246711.csv
1749042792,2025-06-04 15:13:12,scope2__ALL_20250604151311567.csv
1749042864,2025-06-04 15:14:24,scope2__ALL_20250604151423600.csv
1749044500,2025-06-04 15:41:40,scope2__ALL_20250604154139645.csv
1749044568,2025-06-04 15:42:48,scope2__ALL_20250604154247571.csv
1749044712,2025-06-04 15:45:12,scope2__ALL_20250604154511562.csv
1749044832,2025-06-04 15:47:12,scope2__ALL_20250604154711562.csv
1749044890,2025-06-04 15:48:10,scope2__ALL_20250604154809313.csv
1749045048,2025-06-04 15:50:48,scope2__ALL_20250604155047571.csv
1749045149,2025-06-04 15:52:29,scope2__ALL_20250604155228189.csv
1749045192,2025-06-04 15:53:12,scope2__ALL_20250604155311570.csv
1749045480,2025-06-04 15:58:00,scope2__ALL_20250604155759559.csv
1749045782,2025-06-04 16:03:02,scope2__ALL_20250604160301864.csv
1749045816,2025-06-04 16:03:36,scope2__ALL_20250604160335572.csv
1749046018,2025-06-04 16:06:58,scope2__ALL_20250604160657620.csv
1749046560,2025-06-04 16:16:00,scope2__ALL_20250604161559575.csv
1749046665,2025-06-04 16:17:45,scope2__ALL_20250604161744605.csv
1749046896,2025-06-04 16:21:36,scope2__ALL_20250604162135570.csv
1749047016,2025-06-04 16:23:36,scope2__ALL_20250604162335562.csv
1749047136,2025-06-04 16:25:36,scope2__ALL_20250604162535627.csv
1749047256,2025-06-04 16:27:36,scope2__ALL_20250604162735561.csv
1749047287,2025-06-04 16:28:07,scope2__ALL_20250604162806925.csv
1749047544,2025-06-04 16:32:24,scope2__ALL_20250604163223574.csv
1749047664,2025-06-04 16:34:24,scope2__ALL_20250604163423560.csv
1749047952,2025-06-04 16:39:12,scope2__ALL_20250604163911563.csv
1749048048,2025-06-04 16:40:48,scope2__ALL_20250604164047561.csv
1749048144,2025-06-04 16:42:24,scope2__ALL_20250604164223581.csv
1749109435,2025-06-05 09:43:55,scope2__ALL_20250605094354795.csv
1749111475,2025-06-05 10:17:55,scope2__ALL_20250605101754843.csv
1749111571,2025-06-05 10:19:31,scope2__ALL_20250605101930770.csv
1749111763,2025-06-05 10:22:43,scope2__ALL_20250605102242781.csv
1749111907,2025-06-05 10:25:07,scope2__ALL_20250605102506778.csv
1749112003,2025-06-05 10:26:43,scope2__ALL_20250605102642773.csv
1749112099,2025-06-05 10:28:19,scope2__ALL_20250605102818770.csv
1749112171,2025-06-05 10:29:31,scope2__ALL_20250605102930778.csv
1749112267,2025-06-05 10:31:07,scope2__ALL_20250605103106778.csv
1749112795,2025-06-05 10:39:55,scope2__ALL_20250605103954765.csv
1749112867,2025-06-05 10:41:07,scope2__ALL_20250605104106766.csv
1749112939,2025-06-05 10:42:19,scope2__ALL_20250605104218768.csv
1749113059,2025-06-05 10:44:19,scope2__ALL_20250605104418764.csv
1749113107,2025-06-05 10:45:07,scope2__ALL_20250605104506761.csv
1749113155,2025-06-05 10:45:55,scope2__ALL_20250605104554762.csv
1749113395,2025-06-05 10:49:55,scope2__ALL_20250605104954763.csv
1749113491,2025-06-05 10:51:31,scope2__ALL_20250605105130763.csv
1749113587,2025-06-05 10:53:07,scope2__ALL_20250605105306764.csv
1749113683,2025-06-05 10:54:43,scope2__ALL_20250605105442766.csv
1749113779,2025-06-05 10:56:19,scope2__ALL_20250605105618762.csv
1749115267,2025-06-05 11:21:07,scope2__ALL_20250605112106837.csv
1749116828,2025-06-05 11:47:08,scope2__ALL_20250605114706839.csv
1749116851,2025-06-05 11:47:31,scope2__ALL_20250605114730758.csv
1749117115,2025-06-05 11:51:55,scope2__ALL_20250605115154768.csv
1749117211,2025-06-05 11:53:31,scope2__ALL_20250605115330762.csv
1749117307,2025-06-05 11:55:07,scope2__ALL_20250605115506764.csv
1749117403,2025-06-05 11:56:43,scope2__ALL_20250605115642766.csv
1749117499,2025-06-05 11:58:19,scope2__ALL_20250605115818763.csv
1749117595,2025-06-05 11:59:55,scope2__ALL_20250605115954761.csv
1749117667,2025-06-05 12:01:07,scope2__ALL_20250605120106762.csv
1749117739,2025-06-05 12:02:19,scope2__ALL_20250605120218763.csv
1749117811,2025-06-05 12:03:31,scope2__ALL_20250605120330760.csv
1749117883,2025-06-05 12:04:43,scope2__ALL_20250605120442765.csv
1749118051,2025-06-05 12:07:31,scope2__ALL_20250605120730774.csv
1749118147,2025-06-05 12:09:07,scope2__ALL_20250605120906760.csv
1749118243,2025-06-05 12:10:43,scope2__ALL_20250605121042764.csv
1749118387,2025-06-05 12:13:07,scope2__ALL_20250605121306764.csv
1749118483,2025-06-05 12:14:43,scope2__ALL_20250605121442761.csv
1749118555,2025-06-05 12:15:55,scope2__ALL_20250605121554762.csv
1749118699,2025-06-05 12:18:19,scope2__ALL_20250605121818765.csv
1749118771,2025-06-05 12:19:31,scope2__ALL_20250605121930760.csv
1749118843,2025-06-05 12:20:43,scope2__ALL_20250605122042765.csv
1749118891,2025-06-05 12:21:31,scope2__ALL_20250605122130764.csv
1749119059,2025-06-05 12:24:19,scope2__ALL_20250605122418761.csv
1749119131,2025-06-05 12:25:31,scope2__ALL_20250605122530761.csv
1749119203,2025-06-05 12:26:43,scope2__ALL_20250605122642764.csv
1749119275,2025-06-05 12:27:55,scope2__ALL_20250605122754760.csv
1749119347,2025-06-05 12:29:07,scope2__ALL_20250605122906762.csv
1749119467,2025-06-05 12:31:07,scope2__ALL_20250605123106760.csv
1749119563,2025-06-05 12:32:43,scope2__ALL_20250605123242759.csv
1749119635,2025-06-05 12:33:55,scope2__ALL_20250605123354759.csv
1749119731,2025-06-05 12:35:31,scope2__ALL_20250605123530761.csv
1749119803,2025-06-05 12:36:43,scope2__ALL_20250605123642762.csv
